=== Creating logs directory ===
=== Changing to work directory ===
=== Building bench_read_1pz ===
=== Picking sample files ===
Found and selected 100 files
=== Running benchmark with n_threads=32 (full per-file output) ===
path,file_size,n_cells,nnz,decoded_bytes,cold_ms,warm_ms
/mnt/home/besleya/quant/GSE204864/GSM6199115/counts.1pz,513272,559,203344,1628992,13.809,11.4811
/mnt/home/besleya/quant/GSE278558/GSM8548823/counts.1pz,23106047,91981,25314656,202885176,1380.62,1367.54
/mnt/home/besleya/quant/GSE216357/GSM6670922/counts.1pz,16742892,8645,21749405,174029824,1311.88,1296.46
/mnt/home/besleya/quant/GSE206391/GSM6252975/counts.1pz,5339970,10498,5481942,43897532,311.781,306.145
/mnt/home/besleya/quant/GSE206284/GSM6249257/counts.1pz,2774384,12268,2423644,19438228,118.468,113.35
/mnt/home/besleya/quant/GSE261774/GSM8151509/counts.1pz,4317027,2468,5033570,40278436,304.173,299.032
/mnt/home/besleya/quant/GSE211956/GSM6506117/gene_counts.1pz,6740497,3072,8791799,70346684,538.023,538.442
/mnt/home/besleya/quant/GSE250558/GSM7981573/counts.1pz,14995791,18441,18084082,144746424,980.377,972.533
/mnt/home/besleya/quant/GSE181422/GSM5502225/counts.1pz,17662515,72428,17897930,143473156,970.339,958.851
/mnt/home/besleya/quant/GSE152522/GSM4617170/counts.1pz,3578381,6745,3684239,29500896,190.488,190.227
/mnt/home/besleya/quant/GSE129826/GSM3722736/counts.1pz,35494404,12916,51269494,410207620,3328.69,3314.13
/mnt/home/besleya/quant/GSE241386/GSM7728058/counts.1pz,20307475,15600,24082308,192720868,1457.1,1446.92
/mnt/home/besleya/quant/GSE266546/GSM8249673/counts.1pz,2407450,15117,1732601,13921280,81.4317,79.8002
/mnt/home/besleya/quant/GSE250558/GSM7981580/counts.1pz,3678804,82319,2321332,18899936,111.071,110.749
/mnt/home/besleya/quant/GSE211956/GSM6506109/gene_counts.1pz,3209845,2086,3505485,28052228,203.556,208.163
/mnt/home/besleya/quant/GSE150290/GSM4546306/counts.1pz,3205409,2206,3440824,27535420,202.171,200.912
/mnt/home/besleya/quant/GSE173180/GSM5261585/counts.1pz,31517915,114113,35226141,282265584,1990.79,1977.11
/mnt/home/besleya/quant/GSE150290/GSM4546307/counts.1pz,4600002,3494,5139735,41131860,300.261,295.925
/mnt/home/besleya/quant/GSE237239/GSM7597609/counts.1pz,70529614,137014,88856673,711401444,5420.96,5394.13
